id,name,slug,state_id,state_name,province_id,province_name,culture_id,feature_id,cell,x,y,capital,port,population,type,group,walls,citadel,temple
1,Cerlumivigna,cerlumivigna,27,Marches of Petrello,77,Ponteleo Earldom,23,1,3822,1465.3,1195.2,FALSE,FALSE,4.464,River,town,TRUE,TRUE,FALSE
2,Nertisa,nertisa,30,Herviorum City-state,0,,19,1,3978,607.18,1231.66,FALSE,TRUE,4.439,Naval,town,TRUE,TRUE,FALSE
3,Sornodurica,sornodurica,31,Duchy of Witfordburia,0,,19,1,3859,271.93,1198.34,FALSE,TRUE,16.106,Naval,city,TRUE,TRUE,FALSE
4,Yakun,yakun,22,Sultanate of Kanchasuyu,17,Asisumarru County,19,1,2169,216.28,604.71,FALSE,TRUE,4.098,Naval,town,TRUE,TRUE,FALSE
5,Pullum,pullum,23,Xilhuan Altepetl,40,Pullum County,0,1,2614,1386.66,733.91,FALSE,TRUE,7.298,Naval,town,TRUE,TRUE,FALSE
6,Sumior,sumior,22,Sultanate of Kanchasuyu,14,Sumior Landgrave,19,1,1680,299.37,465.82,FALSE,TRUE,9.245,Naval,town,TRUE,TRUE,FALSE
7,Cavadokarok,cavadokarok,24,City-state of Saheranahvaria,54,Magnarionia Province,18,1,2178,836.83,592.45,FALSE,TRUE,14.427,Naval,city,TRUE,TRUE,FALSE
8,Orpanmalan,orpanmalan,29,Beylik of Lugrancanta,94,Orpanmalan County,20,1,939,593.26,313.6,FALSE,TRUE,38.056,Naval,city,TRUE,TRUE,TRUE
9,Relorum,relorum,33,Duchy of Temalimco,0,,0,1,4807,580.87,1413.6,FALSE,FALSE,3.242,River,town,TRUE,TRUE,FALSE
10,Aharcan,aharcan,29,Beylik of Lugrancanta,0,,22,1,2255,993.29,617.02,FALSE,FALSE,19.216,River,city,TRUE,TRUE,FALSE
11,Pullum,pullum,31,Duchy of Witfordburia,0,,19,1,4561,193.49,1368.8,FALSE,FALSE,15.025,River,city,TRUE,TRUE,FALSE
12,Bevanconan,bevanconan,22,Sultanate of Kanchasuyu,4,Ornanlpansu County,20,1,1096,324.47,330.95,FALSE,TRUE,4.221,Naval,town,TRUE,TRUE,FALSE
