cell_id,state_id,state_name,province_id,province_name
0,22,Sultanate of Kanchasuyu,7,Fionlaqtia County
1,22,Sultanate of Kanchasuyu,7,Fionlaqtia County
2,22,Sultanate of Kanchasuyu,7,Fionlaqtia County
3,22,Sultanate of Kanchasuyu,7,Fionlaqtia County
4,22,Sultanate of Kanchasuyu,7,Fionlaqtia County
5,22,Sultanate of Kanchasuyu,25,Lorkaia County
6,22,Sultanate of Kanchasuyu,25,Lorkaia County
7,22,Sultanate of Kanchasuyu,25,Lorkaia County
8,22,Sultanate of Kanchasuyu,25,Lorkaia County
9,22,Sultanate of Kanchasuyu,25,Lorkaia County
10,22,Sultanate of Kanchasuyu,16,Melia Margrave
11,22,Sultanate of Kanchasuyu,16,Melia Margrave
12,22,Sultanate of Kanchasuyu,16,Melia Margrave
13,22,Sultanate of Kanchasuyu,16,Melia Margrave
14,22,Sultanate of Kanchasuyu,16,Melia Margrave
15,22,Sultanate of Kanchasuyu,16,Melia Margrave
16,22,Sultanate of Kanchasuyu,106,Orcan Territory
17,22,Sultanate of Kanchasuyu,106,Orcan Territory
18,22,Sultanate of Kanchasuyu,106,Orcan Territory
19,22,Sultanate of Kanchasuyu,106,Orcan Territory
20,28,Emirate of Riagan,123,Bren Territory
21,28,Emirate of Riagan,123,Bren Territory
22,28,Emirate of Riagan,123,Bren Territory
23,28,Emirate of Riagan,123,Bren Territory
24,28,Emirate of Riagan,123,Bren Territory
25,28,Emirate of Riagan,123,Bren Territory
26,28,Emirate of Riagan,84,Kievan County
27,28,Emirate of Riagan,86,Rorinmia County
28,28,Emirate of Riagan,86,Rorinmia County
29,28,Emirate of Riagan,86,Rorinmia County
30,28,Emirate of Riagan,86,Rorinmia County
31,28,Emirate of Riagan,88,Orinlaqta County
32,28,Emirate of Riagan,88,Orinlaqta County
33,28,Emirate of Riagan,124,Orin Territory
34,28,Emirate of Riagan,124,Orin Territory
35,28,Emirate of Riagan,0,
36,28,Emirate of Riagan,0,
37,26,Raamkoda,131,Kiiraud Istekoda
38,26,Raamkoda,131,Kiiraud Istekoda
39,26,Raamkoda,131,Kiiraud Istekoda
40,26,Raamkoda,131,Kiiraud Istekoda
41,26,Raamkoda,131,Kiiraud Istekoda
42,26,Raamkoda,131,Kiiraud Istekoda
43,26,Raamkoda,131,Kiiraud Istekoda
44,26,Raamkoda,131,Kiiraud Istekoda
45,26,Raamkoda,131,Kiiraud Istekoda
46,26,Raamkoda,131,Kiiraud Istekoda
47,23,Xilhuan Altepetl,0,
48,23,Xilhuan Altepetl,0,
49,23,Xilhuan Altepetl,0,
50,0,Neutrals,0,
51,0,Neutrals,0,
52,22,Sultanate of Kanchasuyu,7,Fionlaqtia County
