id,name,slug,full_name,state_id,state_name,burg_id,center,pole,color,form_name
1,Ruyurein,ruyurein-county,Ruyurein County,22,Sultanate of Kanchasuyu,225,,"154, 573",#59b7ce,County
2,Laqtia,laqtia-county,Laqtia County,22,Sultanate of Kanchasuyu,19,,"134, 451",#5aabd7,County
3,Maria,maria-barony,Maria Barony,22,Sultanate of Kanchasuyu,20,,"89, 693",#3dcdd6,Barony
4,Ornanlpansu,ornanlpansu-county,Ornanlpansu County,22,Sultanate of Kanchasuyu,557,,"371, 367",#5aadd6,County
5,Markia,markia-margrave,Markia Margrave,22,Sultanate of Kanchasuyu,191,,"275, 417",#27bef0,Margrave
6,Borcunumia,borcunumia-county,Borcunumia County,22,Sultanate of Kanchasuyu,256,,"370, 417",#28c7e5,County
7,Fionlaqtia,fionlaqtia-county,Fionlaqtia County,22,Sultanate of Kanchasuyu,82,,"24, 30",#29c9e2,County
8,Tuarkalanco,tuarkalanco-county,Tuarkalanco County,22,Sultanate of Kanchasuyu,155,,"253, 225",#39a6eb,County
9,Qochruyu,qochruyu-county,Qochruyu County,22,Sultanate of Kanchasuyu,367,,"23, 578",#32aef3,County
10,Saium,saium-county,Saium County,22,Sultanate of Kanchasuyu,237,,"73, 402",#5ab3d0,County
11,Qocha,qocha-county,Qocha County,22,Sultanate of Kanchasuyu,295,,"323, 401",#4cc7d1,County
12,Beranlaqia,beranlaqia-county,Beranlaqia County,22,Sultanate of Kanchasuyu,53,,"405, 369",#5ab3cf,County
13,Sirgodulum,sirgodulum-county,Sirgodulum County,22,Sultanate of Kanchasuyu,48,,"415, 416",#39a5e9,County
14,Sumior,sumior-landgrave,Sumior Landgrave,22,Sultanate of Kanchasuyu,6,,"343, 480",#2fccdb,Landgrave
15,Fionkancha,fionkancha-county,Fionkancha County,22,Sultanate of Kanchasuyu,571,,"84, 112",#43a4ea,County
16,Melia,melia-margrave,Melia Margrave,22,Sultanate of Kanchasuyu,514,,"297, 69",#5aafd3,Margrave
17,Asisumarru,asisumarru-county,Asisumarru County,22,Sultanate of Kanchasuyu,683,,"244, 542",#58b8cd,County
18,Fioncorin,fioncorin-county,Fioncorin County,22,Sultanate of Kanchasuyu,617,,"403, 218",#5aaad8,County
19,Ausuyumi,ausuyumi-county,Ausuyumi County,22,Sultanate of Kanchasuyu,129,,"31, 738",#27c2ee,County
20,Binovium,binovium-county,Binovium County,22,Sultanate of Kanchasuyu,459,,"459, 455",#27c3ec,County
21,Marsu,marsu-county,Marsu County,22,Sultanate of Kanchasuyu,448,,"178, 504",#45a4ea,County
22,Ruyuyuionia,ruyuyuionia-county,Ruyuyuionia County,22,Sultanate of Kanchasuyu,479,,"130, 296",#39cdd7,County
23,Apaor,apaor-county,Apaor County,22,Sultanate of Kanchasuyu,537,,"270, 485",#3fa4ea,County
24,Kancha,kancha-county,Kancha County,22,Sultanate of Kanchasuyu,470,,"94, 520",#5aa9d9,County
25,Lorkaia,lorkaia-county,Lorkaia County,22,Sultanate of Kanchasuyu,52,,"165, 30",#2db4f4,County
26,Sornumia,sornumia-county,Sornumia County,22,Sultanate of Kanchasuyu,141,,"423, 379",#3ea4ea,County
27,Archco,archco-county,Archco County,23,Xilhuan Altepetl,762,,"1295, 462",#a579fd,County
28,Nototitlanco,nototitlanco-county,Nototitlanco County,23,Xilhuan Altepetl,583,,"1335, 634",#b25aff,County
29,Fomaraunium,fomaraunium-county,Fomaraunium County,23,Xilhuan Altepetl,77,,"1411, 690",#a66cff,County
30,Glen,glen-county,Glen County,29,Beylik of Lugrancanta,492,,"1018, 598",#c153ff,County
31,Temoac,temoac-county,Temoac County,23,Xilhuan Altepetl,15,,"1230, 825",#c853ff,County
32,Oveliava,oveliava-earldom,Oveliava Earldom,23,Xilhuan Altepetl,90,,"1396, 685",#ab63ff,Earldom
33,Huatlacanco,huatlacanco-earldom,Huatlacanco Earldom,23,Xilhuan Altepetl,69,,"1432, 663",#d657f8,Earldom
34,Ariateranno,ariateranno-earldom,Ariateranno Earldom,23,Xilhuan Altepetl,22,,"1303, 692",#af5fff,Earldom
35,Napanverte,napanverte-county,Napanverte County,23,Xilhuan Altepetl,75,,"1363, 813",#a474ff,County
36,Corathionia,corathionia-earldom,Corathionia Earldom,23,Xilhuan Altepetl,235,,"1405, 541",#ce72e6,Earldom
37,Maia,maia-county,Maia County,23,Xilhuan Altepetl,299,,"1072, 637",#d764e9,County
38,Mosyan,mosyan-earldom,Mosyan Earldom,23,Xilhuan Altepetl,231,,"1223, 195",#a477ff,Earldom
39,Madaspan,madaspan-county,Madaspan County,23,Xilhuan Altepetl,250,,"1318, 867",#d055fe,County
40,Pullum,pullum-county,Pullum County,23,Xilhuan Altepetl,5,,"1370, 745",#c17dee,County
41,Wesvariontia,wesvariontia-county,Wesvariontia County,23,Xilhuan Altepetl,33,,"1439, 419",#a97cf7,County
42,Auiatlan,auiatlan-county,Auiatlan County,23,Xilhuan Altepetl,35,,"1334, 272",#a477ff,County
43,Preme,preme-earldom,Preme Earldom,23,Xilhuan Altepetl,121,,"1218, 766",#b358ff,Earldom
44,Drupiba,drupiba-county,Drupiba County,23,Xilhuan Altepetl,746,,"1095, 510",#d766e7,County
45,Alcocateco,alcocateco-county,Alcocateco County,23,Xilhuan Altepetl,562,,"1124, 576",#ae7df4,County
46,Confleba,confleba-county,Confleba County,23,Xilhuan Altepetl,589,,"1215, 625",#b755ff,County
47,Buratesa,buratesa-county,Buratesa County,23,Xilhuan Altepetl,712,,"1133, 415",#ae61ff,County
48,Hueca,hueca-county,Hueca County,23,Xilhuan Altepetl,277,,"1300, 566",#d75bf0,County
49,Texcoaxaxaco,texcoaxaxaco-county,Texcoaxaxaco County,23,Xilhuan Altepetl,399,,"1306, 826",#bd7dee,County
50,Tlamaco,tlamaco-earldom,Tlamaco Earldom,23,Xilhuan Altepetl,483,,"1359, 670",#b855ff,Earldom
51,Aurpan,aurpan-county,Aurpan County,23,Xilhuan Altepetl,390,,"1449, 602",#a472ff,County
