id,group,feature_id,point_count,points
0,roads,1,37,"1254.53,817.84 | 1265.40,837.02 | 1294.02,841.73 | 1299.51,856.07 | 1309.45,864.05 | 1312.05,879.19 | 1307.99,906.22 | 1310.12,924.96 | 1331.25,927.50 | 1331.71,942.21 | 1336.27,960.56 | 1336.19,985.95 | 1350.92,1006.63 | 1354.96,1039.20 | 1379.45,1037.38 | 1388.12,1053.90 | 1406.23,1066.93 | 1426.27,1092.84 | 1442.39,1115.34 | 1433.80,1136.20 | 1445.91,1135.46 | 1466.50,1147.90 | 1469.57,1164.46 | 1462.38,1180.06 | 1465.30,1195.20 | 1470.27,1212.25 | 1470.43,1224.82 | 1463.82,1233.55 | 1462.65,1244.00 | 1466.50,1259.20 | 1471.36,1273.34 | 1489.07,1275.83 | 1501.60,1279.70 | 1514.22,1283.64 | 1523.00,1290.60 | 1526.58,1310.65 | 1534.07,1346.82"
1,roads,1,21,"993.29,617.02 | 1015.12,617.17 | 1037.09,616.69 | 1051.21,622.38 | 1053.29,638.91 | 1053.62,661.16 | 1061.25,685.30 | 1061.74,699.50 | 1073.93,711.52 | 1083.33,718.60 | 1094.76,728.11 | 1099.75,741.21 | 1110.09,757.19 | 1113.45,777.23 | 1132.76,779.59 | 1153.04,766.59 | 1181.78,780.71 | 1197.08,779.89 | 1209.66,786.11 | 1231.45,795.17 | 1254.53,817.84"
2,roads,1,10,"1294.02,841.73 | 1309.95,827.87 | 1345.46,837.94 | 1355.81,826.90 | 1380.11,806.11 | 1370.30,794.30 | 1366.85,779.32 | 1372.70,765.60 | 1363.79,742.92 | 1386.66,733.91"
3,roads,1,9,"836.83,592.45 | 861.01,595.21 | 876.58,601.63 | 887.29,613.35 | 896.42,612.61 | 925.02,613.29 | 941.13,620.68 | 973.03,614.61 | 993.29,617.02"
4,roads,1,13,"607.18,1231.66 | 611.26,1247.27 | 598.69,1272.63 | 592.45,1283.02 | 582.41,1289.91 | 556.28,1295.78 | 557.95,1305.94 | 563.41,1342.88 | 560.19,1360.93 | 567.73,1366.28 | 577.51,1374.85 | 569.31,1391.35 | 580.87,1413.60"
5,roads,1,51,"607.18,1231.66 | 612.80,1216.80 | 618.45,1202.04 | 631.10,1193.50 | 636.28,1176.67 | 633.40,1162.59 | 639.51,1144.44 | 635.54,1126.02 | 634.00,1107.90 | 628.46,1088.57 | 638.96,1070.02 | 629.34,1052.92 | 639.43,1048.08 | 643.50,1038.80 | 641.59,1024.98 | 642.72,1018.60 | 650.00,1006.30 | 668.16,1004.46 | 678.16,997.36 | 703.83,991.82 | 715.93,981.71 | 723.04,961.79 | 730.92,954.85 | 750.04,951.34 | 759.91,941.55 | 767.22,927.85 | 780.55,919.03 | 787.40,907.80 | 794.21,896.47 | 798.78,887.12 | 800.98,880.80 | 808.13,874.86 | 812.50,861.80 | 816.95,848.67 | 827.40,840.90 | 834.55,830.84 | 835.16,816.33 | 831.10,803.10 | 827.02,789.90 | 827.44,779.26 | 821.88,766.54 | 834.00,757.20 | 838.88,746.93 | 840.78,729.80 | 849.54,717.13 | 852.41,702.11 | 850.81,683.20 | 841.45,654.14 | 832.45,644.73 | 831.60,627.20 | 836.83,592.45"
6,roads,1,34,"861.01,595.21 | 859.80,582.30 | 858.66,569.39 | 860.20,557.90 | 861.71,546.33 | 857.93,540.20 | 857.90,523.50 | 857.84,506.78 | 857.82,490.96 | 848.10,480.10 | 841.60,468.69 | 841.40,456.20 | 838.18,443.69 | 828.86,431.76 | 817.50,413.20 | 806.08,394.60 | 798.20,383.90 | 790.33,373.19 | 776.00,370.40 | 763.52,365.40 | 754.80,355.90 | 743.25,346.38 | 736.21,339.20 | 726.18,338.03 | 706.60,326.90 | 701.11,327.22 | 692.92,324.65 | 680.50,323.10 | 667.98,321.64 | 649.94,323.04 | 635.60,326.10 | 621.19,329.12 | 614.84,319.21 | 593.26,313.60"
7,roads,1,10,"1352.31,566.53 | 1361.10,591.04 | 1364.58,611.75 | 1373.98,620.44 | 1372.76,638.71 | 1383.30,669.65 | 1376.00,688.43 | 1395.05,712.29 | 1386.77,720.57 | 1386.66,733.91"
8,roads,1,16,"556.28,1295.78 | 537.17,1297.28 | 527.95,1270.02 | 514.11,1267.89 | 500.20,1270.00 | 486.37,1272.17 | 475.70,1274.90 | 465.07,1277.63 | 453.47,1288.44 | 436.16,1314.69 | 425.97,1321.04 | 399.83,1306.13 | 370.79,1295.59 | 353.11,1286.62 | 341.83,1300.66 | 334.07,1313.67"
9,roads,1,8,"193.49,1368.80 | 215.89,1353.43 | 230.38,1346.02 | 251.82,1344.24 | 273.35,1323.76 | 286.69,1323.72 | 311.33,1329.15 | 334.07,1313.67"
10,roads,1,7,"286.69,1323.72 | 279.97,1294.45 | 284.11,1282.67 | 268.61,1264.19 | 265.10,1249.75 | 274.07,1232.03 | 271.93,1198.34"
11,roads,1,15,"216.28,604.71 | 198.68,617.20 | 192.30,629.90 | 180.55,634.50 | 168.20,632.20 | 149.90,640.90 | 144.25,655.20 | 141.70,670.80 | 139.15,686.40 | 130.10,698.80 | 121.14,711.28 | 108.31,713.69 | 96.61,714.94 | 86.90,722.90 | 80.81,735.27"
12,roads,1,40,"216.28,604.71 | 201.42,595.32 | 210.80,588.50 | 217.49,580.16 | 218.80,568.70 | 232.91,564.99 | 242.78,556.65 | 255.60,545.40 | 272.30,546.36 | 279.71,518.34 | 282.50,505.70 | 285.66,492.64 | 295.80,482.40 | 299.37,465.82 | 322.00,471.90 | 337.76,471.88 | 351.89,460.50 | 364.70,462.80 | 377.42,465.06 | 388.03,458.87 | 393.64,448.59 | 408.02,432.50 | 423.30,424.40 | 426.80,412.90 | 430.29,401.39 | 425.50,389.10 | 425.92,379.50 | 431.50,372.50 | 435.78,361.34 | 433.70,343.34 | 436.78,335.77 | 467.27,321.70 | 491.70,295.24 | 503.38,295.82 | 526.99,302.08 | 545.37,297.93 | 567.40,287.80 | 574.86,295.81 | 585.80,294.20 | 593.26,313.60"
13,roads,1,3,"723.04,961.79 | 713.54,970.71 | 703.83,991.82"
14,roads,1,18,"193.49,1368.80 | 170.02,1379.91 | 146.70,1375.90 | 136.72,1368.30 | 129.16,1361.57 | 121.80,1347.20 | 114.51,1332.75 | 116.70,1322.90 | 116.89,1311.04 | 122.50,1297.60 | 123.88,1283.13 | 120.45,1268.33 | 124.43,1256.91 | 110.40,1243.53 | 95.70,1227.42 | 101.88,1210.22 | 87.20,1201.10 | 71.50,1190.98"
15,roads,1,10,"324.47,330.95 | 317.20,342.80 | 321.96,353.66 | 330.70,360.50 | 357.45,358.00 | 370.20,362.40 | 383.47,352.26 | 401.96,357.60 | 415.77,361.31 | 425.92,379.50"
16,roads,1,12,"128.09,414.82 | 144.08,421.09 | 154.71,430.10 | 165.26,445.96 | 179.17,454.95 | 189.20,462.80 | 199.17,470.72 | 211.60,478.10 | 224.05,485.52 | 240.63,481.67 | 269.74,488.84 | 285.66,492.64"
17,trails,1,18,"895.57,851.62 | 883.96,871.84 | 873.27,884.00 | 870.31,897.98 | 859.17,907.99 | 854.06,926.96 | 858.50,946.20 | 852.37,955.31 | 852.43,965.07 | 853.22,993.47 | 879.96,1002.84 | 896.03,1014.78 | 903.69,1026.86 | 931.32,1035.16 | 940.52,1043.41 | 949.79,1060.20 | 965.18,1068.06 | 992.95,1068.26"
18,trails,1,10,"858.17,833.53 | 877.67,839.97 | 895.57,851.62 | 933.05,853.05 | 943.07,850.76 | 956.23,862.50 | 964.50,884.81 | 971.42,897.25 | 987.47,879.52 | 993.59,848.97"
19,trails,1,6,"938.77,968.34 | 924.31,961.25 | 914.53,951.66 | 902.13,947.04 | 886.08,946.33 | 858.50,946.20"
20,trails,1,5,"971.42,897.25 | 979.43,912.40 | 998.64,924.16 | 994.17,951.75 | 983.10,960.94"
21,trails,1,2,"858.17,833.53 | 834.55,830.84"
22,trails,1,4,"991.00,984.49 | 979.82,968.48 | 962.32,964.21 | 938.77,968.34"
23,trails,1,4,"924.31,961.25 | 914.00,980.28 | 915.71,1005.20 | 931.32,1035.16"
24,trails,1,2,"723.04,961.79 | 699.63,942.28"
25,trails,1,6,"798.91,1068.14 | 816.94,1064.55 | 828.40,1054.39 | 840.32,1027.44 | 850.28,1012.48 | 853.22,993.47"
26,trails,1,7,"703.83,991.82 | 705.00,1013.37 | 696.60,1032.45 | 683.38,1034.96 | 665.32,1046.42 | 647.90,1054.84 | 638.96,1070.02"
27,trails,1,7,"1008.20,809.55 | 1030.84,808.95 | 1046.51,806.58 | 1057.23,800.07 | 1067.70,799.60 | 1093.75,793.98 | 1113.45,777.23"
28,trails,1,2,"689.62,959.52 | 699.63,942.28"
29,trails,1,2,"713.54,970.71 | 689.62,959.52"
30,trails,1,3,"1008.20,809.55 | 1006.81,830.59 | 993.59,848.97"
31,trails,1,9,"1008.20,809.55 | 1015.14,793.22 | 1012.07,774.52 | 1014.32,757.38 | 1023.83,742.04 | 1019.08,721.25 | 1025.06,710.85 | 1037.80,693.58 | 1061.25,685.30"
32,trails,1,5,"1048.99,1023.41 | 1028.14,1005.05 | 1022.51,997.74 | 1010.67,992.29 | 991.00,984.49"
33,trails,1,11,"998.64,924.16 | 1015.17,925.61 | 1033.99,930.56 | 1048.06,928.62 | 1074.03,921.38 | 1102.74,919.53 | 1115.42,911.50 | 1134.27,889.24 | 1146.64,900.40 | 1154.23,910.93 | 1161.40,937.76"
34,trails,1,6,"798.91,1068.14 | 788.89,1053.56 | 772.74,1047.53 | 758.09,1035.39 | 733.73,1026.21 | 696.60,1032.45"
35,trails,1,15,"798.91,1068.14 | 775.18,1082.97 | 763.82,1097.96 | 757.68,1108.13 | 757.16,1120.87 | 750.52,1142.88 | 752.21,1158.25 | 740.17,1186.86 | 723.62,1189.85 | 708.87,1185.80 | 691.30,1185.33 | 677.17,1193.05 | 669.24,1209.30 | 647.22,1187.99 | 636.28,1176.67"
36,trails,1,8,"1074.39,1031.28 | 1076.32,1057.42 | 1071.26,1068.41 | 1054.39,1088.04 | 1047.48,1080.82 | 1035.71,1077.35 | 1016.09,1078.02 | 992.95,1068.26"
37,trails,1,2,"1128.26,791.74 | 1132.76,779.59"
38,trails,1,11,"1048.99,1023.41 | 1074.39,1031.28 | 1103.29,1033.58 | 1121.02,1024.34 | 1133.00,1027.18 | 1159.48,1028.50 | 1167.70,1060.90 | 1171.11,1068.57 | 1171.70,1097.98 | 1148.04,1099.94 | 1117.82,1122.26"
39,trails,1,3,"1118.00,849.72 | 1126.28,872.12 | 1134.27,889.24"
40,trails,1,4,"1128.26,791.74 | 1121.25,822.41 | 1122.62,835.41 | 1118.00,849.72"
41,trails,1,2,"1180.79,907.86 | 1154.23,910.93"
42,trails,1,2,"1188.39,944.80 | 1161.40,937.76"
43,trails,1,3,"1037.09,616.69 | 1033.62,599.06 | 1010.41,582.72"
44,trails,1,2,"1159.48,1028.50 | 1177.13,1019.98"
45,trails,1,5,"1188.39,944.80 | 1181.41,973.80 | 1172.00,987.80 | 1169.23,1004.52 | 1177.13,1019.98"
46,trails,1,8,"1188.39,944.80 | 1200.49,931.67 | 1214.88,950.37 | 1220.83,954.02 | 1235.42,962.19 | 1246.63,963.10 | 1256.14,997.51 | 1240.65,1019.53"
47,trails,1,3,"1099.82,1104.19 | 1085.29,1094.61 | 1054.39,1088.04"
48,trails,1,31,"1103.29,1033.58 | 1092.25,1047.95 | 1094.41,1076.26 | 1099.82,1104.19 | 1117.82,1122.26 | 1115.83,1139.84 | 1126.80,1160.06 | 1103.38,1169.49 | 1091.76,1183.32 | 1084.91,1200.06 | 1078.38,1222.60 | 1063.82,1246.22 | 1060.97,1268.14 | 1026.27,1263.72 | 1008.25,1271.62 | 978.99,1276.63 | 966.59,1289.60 | 958.64,1303.66 | 948.64,1309.55 | 933.28,1307.18 | 898.80,1314.03 | 881.08,1321.20 | 875.61,1327.78 | 854.03,1343.64 | 840.75,1345.44 | 822.39,1362.55 | 821.44,1373.61 | 816.69,1394.89 | 793.83,1398.06 | 771.97,1403.63 | 754.88,1397.87"
49,trails,1,2,"1181.78,780.71 | 1180.39,756.25"
50,trails,1,7,"1051.21,622.38 | 1062.82,595.33 | 1079.80,606.31 | 1091.08,617.76 | 1122.41,623.69 | 1142.86,638.81 | 1171.39,633.04"
51,trails,1,2,"1153.04,766.59 | 1180.39,756.25"
52,trails,1,4,"1218.71,880.34 | 1204.78,887.65 | 1196.27,899.76 | 1180.79,907.86"
53,trails,1,2,"1196.27,899.76 | 1200.49,931.67"
54,trails,1,5,"1218.71,880.34 | 1226.08,858.68 | 1222.89,828.78 | 1232.69,822.09 | 1254.53,817.84"
55,trails,1,4,"1220.00,1005.20 | 1209.83,1002.81 | 1197.59,1007.10 | 1177.13,1019.98"
56,trails,1,3,"1167.92,706.03 | 1165.44,692.24 | 1176.82,665.93"
57,trails,1,2,"1236.82,899.24 | 1218.71,880.34"
58,trails,1,4,"1218.15,704.68 | 1208.15,699.51 | 1191.37,700.30 | 1167.92,706.03"
59,trails,1,3,"1191.37,700.30 | 1192.23,723.95 | 1180.39,756.25"
60,trails,1,3,"1142.86,638.81 | 1162.62,664.92 | 1176.82,665.93"
61,trails,1,3,"1094.45,571.99 | 1084.71,584.21 | 1079.80,606.31"
62,trails,1,3,"1241.51,765.40 | 1219.15,766.42 | 1197.08,779.89"
63,trails,1,3,"1209.66,786.11 | 1215.79,810.77 | 1222.89,828.78"
64,trails,1,5,"1257.05,868.16 | 1249.85,885.90 | 1236.82,899.24 | 1250.82,906.92 | 1269.43,918.14"
65,trails,1,2,"1094.45,571.99 | 1096.48,559.37"
66,trails,1,12,"1220.00,1005.20 | 1240.65,1019.53 | 1245.88,1029.09 | 1263.80,1027.31 | 1276.14,1018.08 | 1297.16,1011.12 | 1306.31,1031.73 | 1297.77,1041.68 | 1287.06,1062.53 | 1294.26,1080.26 | 1311.81,1076.74 | 1318.08,1100.99"
67,trails,1,5,"1238.10,729.53 | 1234.62,744.16 | 1241.51,765.40 | 1258.94,787.09 | 1254.53,817.84"
68,trails,1,2,"1274.81,864.56 | 1257.05,868.16"
69,trails,1,4,"669.24,1209.30 | 658.80,1223.68 | 639.83,1225.29 | 612.80,1216.80"
70,trails,1,4,"1155.21,584.93 | 1132.25,576.25 | 1111.65,580.56 | 1094.45,571.99"
71,trails,1,2,"1211.15,655.49 | 1176.82,665.93"
72,trails,1,6,"1155.21,584.93 | 1154.62,609.63 | 1168.60,605.77 | 1179.36,610.56 | 1202.81,623.27 | 1230.46,629.29"
73,trails,1,2,"1179.36,610.56 | 1171.39,633.04"
74,trails,1,3,"1256.14,997.51 | 1269.22,997.25 | 1276.14,1018.08"
75,trails,1,2,"1039.43,504.61 | 1037.59,485.11"
76,trails,1,2,"1211.15,655.49 | 1230.46,629.29"
77,trails,1,4,"1218.15,704.68 | 1238.10,729.53 | 1255.45,727.51 | 1275.55,735.94"
78,trails,1,2,"1299.51,856.07 | 1274.81,864.56"
79,trails,1,2,"1265.40,837.02 | 1274.81,864.56"
80,trails,1,3,"1066.82,498.02 | 1056.40,498.32 | 1039.43,504.61"
81,trails,1,8,"1063.63,522.77 | 1066.82,498.02 | 1082.31,503.14 | 1100.76,514.65 | 1120.54,517.74 | 1116.49,527.00 | 1106.49,535.14 | 1096.48,559.37"
82,trails,1,9,"1241.51,765.40 | 1247.81,752.52 | 1275.55,735.94 | 1285.42,758.54 | 1300.03,766.09 | 1313.95,765.87 | 1329.62,765.45 | 1346.11,767.64 | 1366.85,779.32"
83,trails,1,2,"1012.83,484.88 | 1037.59,485.11"
84,trails,1,15,"1012.83,484.88 | 1004.69,466.46 | 1005.38,447.62 | 1004.55,426.27 | 993.75,407.11 | 1007.46,394.77 | 1019.81,384.41 | 1039.74,378.42 | 1071.64,372.00 | 1080.30,400.44 | 1079.00,415.77 | 1052.35,446.80 | 1070.23,454.41 | 1073.73,467.58 | 1066.82,498.02"
85,trails,1,3,"1052.35,446.80 | 1050.21,464.58 | 1037.59,485.11"
86,trails,1,3,"1307.99,906.22 | 1292.06,908.04 | 1269.43,918.14"
87,trails,1,3,"1336.27,960.56 | 1304.53,966.34 | 1300.15,959.54"
88,trails,1,3,"1211.15,655.49 | 1218.42,680.42 | 1218.15,704.68"
89,trails,1,2,"619.19,1266.76 | 611.26,1247.27"
90,trails,1,4,"646.91,1289.70 | 640.62,1279.40 | 619.19,1266.76 | 598.69,1272.63"
91,trails,1,2,"1302.23,997.36 | 1297.16,1011.12"
