id,name,slug,full_name,form,type,color,atlas_color,capital_id,center,pole,cells,burg_count,culture_id,expansionism,neighbors,bbox
0,Neutrals,neutrals,Neutrals,,,,,,,,62,11,,,"28, 26, 23, 29, 24, 25, 30, 35, 32, 31, 27, 36, 33, 34","9.43, 1242.77, 103.85, 1553.89"
22,Kanchasuyu,kanchasuyu,Sultanate of Kanchasuyu,Monarchy,Generic,#25a8da,#b9d38b,225,,"199, 180",660,129,19,0.5,28,"5.37, 8.48, 529.16, 811.31"
23,Xilhuan,xilhuan,Xilhuan Altepetl,Monarchy,Generic,#b14ff6,#b9d38b,762,,"1266, 537",774,131,16,0.5,"26, 25, 32, 27","980.2, 54.96, 1471.02, 932.25"
24,Saheranahvaria,saheranahvaria,City-state of Saheranahvaria,Republic,Generic,#348fe1,#8fc2d9,763,,"870, 704",73,7,18,0.5,"29, 25","821.88, 592.45, 896.42, 779.26"
25,Naharcan,naharcan,Latocail Naharcan,Monarchy,Generic,#6253c6,#d9c27a,764,,"958, 934",311,39,22,0.5,"23, 24, 32, 30, 35","650, 718.6, 1171.7, 1160.06"
26,Raamkoda,raamkoda,Raamkoda,Monarchy,Generic,#743fac,#8fc2d9,765,,"908, 128",242,8,17,0.5,"28, 23, 29","812.83, 175.88, 1145.81, 417.22"
27,Petrello,petrello,Marches of Petrello,Monarchy,Generic,#26e891,#d9c27a,766,,"1416, 1113",252,71,23,0.5,"23, 32","1246.63, 906.22, 1740.85, 1258.58"
28,Riagan,riagan,Emirate of Riagan,Monarchy,Generic,#19c9c0,#d9c27a,767,,"567, 151",267,63,20,0.5,"22, 26, 29","403.82, 4.27, 812.34, 421.2"
29,Lugrancanta,lugrancanta,Beylik of Lugrancanta,Monarchy,Generic,#fe9235,#b9d38b,768,,"975, 591",145,19,21,0.5,"28, 26, 24","553.6, 309.21, 1061.25, 721.25"
30,Herviorum,herviorum,Herviorum City-state,Republic,Generic,#923db3,#b9d38b,691,,"667, 1096",57,6,21,0.5,25,"607.18, 1052.92, 669.24, 1231.66"
31,Witfordburia,witfordburia,Duchy of Witfordburia,Monarchy,Generic,#c4d93e,#d9c27a,769,,"296, 1334",262,111,0,0.5,,"7.81, 1116.6, 454.2, 1551.92"
32,Nekosdamkoda,nekosdamkoda,Nekosdamkoda,Monarchy,Generic,#2e98df,#8fc2d9,770,,"1142, 1366",277,21,17,0.5,"25, 23, 27","871.41, 907.86, 1294.26, 1489.55"
33,Temalimco,temalimco,Duchy of Temalimco,Monarchy,Generic,#af3cb2,#d9c27a,771,,"547, 1451",238,75,0,0.5,,"299.97, 1311.41, 995.81, 1562.36"
34,Petlancia,petlancia,Duchy of Petlancia,Monarchy,Generic,#8d3eb2,#d9c27a,772,,"1356, 1432",316,54,26,0.5,,"1039.85, 1224.82, 1799.34, 1548.66"
35,Quenolistes,quenolistes,Duchy of Quenolistes,Monarchy,Generic,#dc27be,#b9d38b,773,,"826, 1163",119,3,24,0.5,25,"740.17, 1067.4217529296875, 818.743408203125, 1186.86"
36,Eleral,eleral,Duchy of Eleral,Monarchy,Generic,#3937e1,#d9c27a,774,,"776, 1334",167,26,24,0.5,,"419.03, 1247.47, 1060.97, 1397.87"
