cell_id,seed_x,seed_y,centroid_x,centroid_y,centroid_lat,centroid_lon,area_px,mean_elevation_m,min_elevation_m,max_elevation_m,mean_slope_deg,ruggedness_m,coast_distance_px,coast_distance_km,traversal_score,traversal_profile
0,1337,79,1338.5,80.0,82.0,-46.15,12,-92.49,-814.3,306.57,87.24,3744.41,1.67,18.53,37.89,severe
1,1344,79,1342.84,80.37,81.963158,-45.715789,19,230.94,-77.56,468.77,85.76,3160.05,2.0,22.28,36.57,severe
2,1353,79,1353.48,80.19,81.980952,-44.652381,21,26.87,-593.17,528.82,87.58,3414.65,1.69,18.79,37.74,severe
3,1374,77,1376.23,77.54,82.246154,-42.376923,13,-267.34,-754.1,188.44,88.32,3681.28,1.0,11.12,37.93,severe
4,1384,77,1384.74,79.15,82.084615,-41.525641,39,49.09,-445.22,377.58,81.41,2620.76,1.13,12.61,37.65,severe
5,1397,79,1395.74,79.47,82.052632,-40.426316,19,-173.64,-455.01,105.78,86.51,2658.51,1.07,11.95,37.93,severe
6,1409,79,1408.8,78.53,82.146667,-39.12,15,-124.98,-812.46,422.42,88.14,3354.86,1.12,12.48,37.93,severe
7,1416,79,1415.62,78.62,82.1375,-38.4375,8,-534.47,-871.43,-158.02,88.33,3394.35,1.0,11.12,37.93,severe
8,1420,79,1419.5,79.0,82.1,-38.05,2,-1160.24,-1257.76,-1062.73,87.53,2707.17,1.0,11.12,37.93,severe
9,1324,89,1326.36,89.36,81.064286,-47.364286,14,-157.5,-298.1,-85.28,82.16,1899.48,1.0,11.12,37.93,severe
10,1336,83,1338.23,82.62,81.738462,-46.176923,13,-45.67,-267.14,87.5,83.61,2334.1,1.29,14.39,37.91,severe
11,1347,82,1346.92,82.16,81.784211,-45.307895,38,167.71,-354.93,504.94,84.16,1903.89,2.09,23.19,36.92,severe
12,1354,84,1355.44,83.44,81.656098,-44.456098,41,154.03,-64.01,535.26,83.24,1292.18,2.16,24.03,36.99,severe
13,1366,83,1364.56,83.07,81.692683,-43.543902,41,-31.67,-240.72,125.56,76.33,1248.96,1.48,16.42,37.9,severe
14,1374,83,1374.68,82.2,81.78,-42.532,25,140.82,-156.04,392.73,84.51,1178.88,1.27,14.16,37.12,severe
15,1382,86,1383.48,84.2,81.58,-41.652,25,43.9,-258.92,403.18,84.44,1071.97,1.23,13.71,37.67,severe
16,1394,85,1392.88,84.85,81.514706,-40.711765,34,-69.44,-396.27,134.96,84.54,1651.66,1.17,13.03,37.92,severe
17,1404,80,1403.5,79.5,82.05,-39.65,12,-324.48,-472.87,-104.16,87.87,2703.47,1.0,11.12,37.93,severe
18,1412,80,1412.0,79.0,82.1,-38.8,7,-45.01,-428.55,371.75,88.31,3459.63,1.2,13.37,37.92,severe
19,1429,88,1430.0,88.0,81.2,-37.0,3,-437.76,-487.1,-410.47,82.53,2365.56,1.0,11.12,37.93,severe
20,1434,88,1433.0,88.0,81.2,-36.7,3,-512.3,-562.16,-462.9,81.95,2266.5,1.0,11.12,37.93,severe
21,1326,97,1326.5,97.0,80.3,-47.35,2,-231.79,-246.28,-217.31,79.13,1112.63,1.0,11.12,37.93,severe
22,1330,97,1329.0,97.0,80.3,-47.1,3,-244.32,-285.13,-212.4,79.1,903.87,1.0,11.12,37.93,severe
23,1357,97,1356.89,97.95,80.205263,-44.310526,19,-43.67,-204.47,94.96,82.36,829.54,1.15,12.78,40.12,severe
24,1364,91,1364.79,89.44,81.055882,-43.520588,34,72.16,-87.57,295.46,80.89,617.16,1.38,15.32,46.3,rough
25,1374,91,1373.11,89.39,81.060714,-42.689286,28,35.48,-217.93,268.52,84.19,910.7,1.39,15.42,37.71,severe
26,1382,90,1379.67,89.83,81.016667,-42.033333,6,-316.98,-414.11,-121.52,86.66,951.91,1.0,11.12,37.93,severe
27,1429,93,1429.0,93.0,80.7,-37.1,1,-875.29,-875.29,-875.29,83.75,1666.68,1.0,11.12,37.93,severe
28,1364,100,1364.0,99.0,80.1,-43.6,15,-126.3,-221.3,-60.53,80.69,880.02,1.03,11.43,38.55,severe
29,1370,100,1368.75,99.75,80.025,-43.125,4,-251.32,-328.57,-203.05,84.5,970.9,1.0,11.12,37.93,severe
30,1655,134,1655.5,134.0,76.6,-14.45,2,-394.17,-419.38,-368.96,82.45,1714.49,1.0,11.12,37.93,severe
31,2006,159,2006.2,160.27,73.973333,20.62,15,-36.47,-62.16,10.13,63.35,631.72,1.55,17.27,46.24,rough
32,2014,158,2015.23,159.65,74.035484,21.522581,31,-13.57,-70.11,118.21,69.44,1146.86,2.65,29.41,37.82,severe
33,2023,159,2022.82,159.46,74.054,22.282,50,-10.34,-105.6,116.12,71.61,1384.23,2.87,31.9,37.81,severe
34,2034,157,2032.95,158.9,74.11,23.295,40,-25.64,-98.25,42.62,72.95,1570.9,2.62,29.08,37.83,severe
35,2041,159,2041.27,159.77,74.023077,24.126923,52,7.06,-183.3,269.5,77.33,1777.71,3.43,38.13,37.73,severe
36,2051,158,2049.63,159.76,74.02439,24.963415,41,-0.54,-178.13,534.73,75.3,1727.69,3.04,33.83,37.8,severe
37,2064,159,2063.35,159.9,74.009677,26.335484,31,-34.38,-105.73,23.47,70.67,1133.0,2.48,27.56,37.83,severe
38,2072,159,2071.04,160.33,73.966667,27.104167,24,-45.46,-101.22,-2.04,68.62,1206.44,2.0,22.28,37.87,severe
39,2085,157,2084.5,157.0,74.3,28.45,4,-209.99,-237.48,-192.71,86.42,3210.52,1.0,11.12,37.93,severe
40,2206,159,2208.42,160.58,73.942105,40.842105,19,391.46,-572.48,1801.61,88.88,5530.84,2.54,28.23,35.63,severe
41,2214,159,2214.04,160.22,73.977778,41.403704,27,355.25,-405.53,1856.29,88.96,5525.95,2.22,24.71,35.85,severe
42,2225,159,2223.73,160.43,73.956667,42.373333,30,309.7,-299.95,962.93,88.48,4601.29,2.43,27.06,36.1,severe
43,2230,159,2229.38,160.62,73.9375,42.9375,16,298.2,-432.78,1238.12,88.5,4318.19,2.27,25.19,36.17,severe
44,1764,169,1762.5,170.93,72.907143,-3.75,28,40.45,-329.06,199.11,81.28,1844.8,2.13,23.68,37.63,severe
45,1776,168,1775.08,169.16,73.084,-2.492,25,153.15,-50.72,268.3,78.96,1982.92,1.91,21.19,37.01,severe
46,1783,169,1782.89,169.57,73.042857,-1.710714,28,113.1,-81.02,336.67,81.45,1664.3,2.57,28.59,37.19,severe
47,1791,169,1790.82,169.64,73.036364,-0.918182,33,16.16,-109.45,112.36,74.75,1529.69,2.23,24.76,37.76,severe
48,1904,169,1903.13,170.97,72.903226,10.312903,31,-46.97,-69.49,-0.13,47.53,318.7,1.92,21.31,55.96,rough
49,1910,168,1911.39,169.09,73.091304,11.13913,23,-55.44,-81.69,-32.16,58.03,511.77,1.28,14.25,49.99,rough
50,1922,169,1921.05,170.04,72.996491,12.105263,57,41.5,-53.67,275.47,71.15,526.79,3.36,37.34,49.15,rough
51,1931,168,1930.77,168.4,73.159574,13.076596,47,76.67,-77.23,570.78,72.39,617.87,3.27,36.38,46.13,rough
