burg_candidate_rank,cell_id,x,y,lat,lon,settlement_desirability,population_estimate,local_population_radius_sum,connectivity_score,strategic_score,burg_candidate_score,coastal_flag,water_flag
1,1690,2324.0,892.0,10.563652,81.625487,0.98278,405.89,5466.17,0.9912,89.2459,90.0577,True,True
2,3687,346.53,2432.1,-13.81769,50.320276,0.96263,388.35,7567.93,0.9847,87.9241,88.7008,True,True
3,1906,2157.02,1034.03,8.315217,78.982088,0.95296,372.62,7670.3,0.9762,87.087,87.8322,True,True
4,3621,383.76,2400.5,-13.317376,50.909643,0.9418,376.51,8991.78,0.9822,86.5472,87.3002,True,True
5,2093,1441.94,1271.48,4.556148,67.661686,0.94595,371.05,6987.15,0.977,86.5176,87.2597,True,True
6,2071,1432.17,1225.97,5.276617,67.507,0.93775,365.03,6760.66,0.975,85.8634,86.5934,True,True
7,686,2014.67,351.0,19.128211,76.728438,0.93618,386.64,5457.78,0.9815,85.7145,86.4878,True,True
8,1867,2208.84,1019.14,8.550857,79.802397,0.93243,358.33,7326.76,0.9716,85.4857,86.2023,True,True
9,1239,2248.92,619.7,14.874501,80.436927,0.9266,347.56,6827.31,0.9653,84.894,85.5891,True,True
10,1826,2210.82,963.76,9.427654,79.833662,0.92146,342.2,8490.83,0.9628,84.6733,85.3577,True,True
11,1982,2093.64,1096.47,7.326702,77.978708,0.92499,333.44,7222.92,0.9553,84.6447,85.3116,True,False
12,2841,1028.64,1980.03,-6.6609,61.118615,0.92462,345.8,5695.73,0.9645,84.6047,85.2963,True,True
13,2072,1457.39,1223.94,5.308698,67.906205,0.91996,339.9,7100.16,0.9614,84.3786,85.0584,True,True
14,2492,1234.52,1725.38,-2.629488,64.37792,0.9185,335.73,6152.88,0.9587,84.1131,84.7845,True,False
15,1980,2031.75,1083.07,7.538857,76.998921,0.91192,339.39,5973.19,0.9633,83.7006,84.3794,True,True
16,2301,1376.18,1521.11,0.604194,66.620496,0.91369,326.63,6126.73,0.9532,83.6651,84.3184,True,False
17,1946,2111.55,1063.02,7.856284,78.262217,0.90874,325.66,8048.73,0.9539,83.5454,84.1967,True,False
18,1983,2178.5,1087.5,7.468696,79.32208,0.90558,374.0,5603.39,0.9641,83.2156,83.9636,True,True
19,1139,1137.4,571.6,15.635973,62.840525,0.90613,367.55,5040.78,0.9639,83.1852,83.9203,True,True
20,2050,1439.12,1196.98,5.735587,67.616984,0.90485,323.34,7104.23,0.9532,83.1416,83.7883,True,False
21,1692,2377.86,895.03,10.515672,82.478168,0.90598,359.01,3589.21,0.9631,82.9891,83.7071,True,True
22,1981,2073.85,1089.15,7.442645,77.665351,0.90321,319.65,6924.74,0.9508,82.9599,83.5992,True,False
23,2191,1428.06,1412.32,2.326435,67.441939,0.90459,321.27,5897.25,0.9516,82.9537,83.5962,True,False
