burg_id,cell_id,x,y,burg_candidate_score,seed_type,coastal_flag,water_flag,population_estimate,settlement_desirability,urban_population,rural_hinterland_population,total_influence_population,rank_class,is_port,is_capital,hub_score,admin_level
0,1690,2324.0,892.0,90.0577,coastal,True,True,405.89,0.98278,33600.0,74692.48,108292.48,great_city,True,True,1.0,0
1,3687,346.53,2432.1,88.7008,coastal,True,True,388.35,0.96263,33600.0,73054.55,106654.55,great_city,True,False,0.9849,1
2,1906,2157.02,1034.03,87.8322,coastal,True,True,372.62,0.95296,33600.0,72003.58,105603.58,great_city,True,False,0.9753,1
3,2093,1441.94,1271.48,87.2597,coastal,True,True,371.05,0.94595,33600.0,71315.72,104915.72,great_city,True,False,0.9689,1
4,686,2014.67,351.0,86.4878,coastal,True,True,386.64,0.93618,33600.0,70398.01,103998.01,great_city,True,False,0.9604,1
5,1239,2248.92,619.7,85.5891,coastal,True,True,347.56,0.9266,33600.0,69298.08,102898.08,great_city,True,False,0.9504,1
6,2841,1028.64,1980.03,85.2963,coastal,True,True,345.8,0.92462,33600.0,68945.75,102545.75,great_city,True,False,0.9471,1
7,2492,1234.52,1725.38,84.7845,coastal,True,False,335.73,0.9185,33600.0,68326.05,101926.05,great_city,True,False,0.9414,1
8,2301,1376.18,1521.11,84.3184,coastal,True,False,326.63,0.91369,33600.0,67761.73,101361.73,great_city,True,False,0.9363,1
9,1139,1137.4,571.6,83.9203,coastal,True,True,367.55,0.90613,33600.0,67306.51,100906.51,great_city,True,False,0.9319,1
10,4103,122.4,2593.06,83.5733,coastal,True,True,335.94,0.89789,33600.0,66872.73,100472.73,great_city,True,False,0.928,1
11,3324,849.52,2224.06,83.0534,coastal,True,False,325.99,0.89832,33600.0,66243.38,99843.38,great_city,True,False,0.9222,1
12,4449,2820.02,2685.54,82.3619,coastal,True,True,361.82,0.88961,33600.0,65433.28,99033.28,great_city,True,False,0.9145,1
13,1799,1369.21,993.3,81.0742,coastal,True,False,299.43,0.87363,33600.0,63853.72,97453.72,great_city,True,False,0.9002,1
14,2088,1951.05,1236.15,80.7669,coastal,True,False,306.62,0.87051,33600.0,63488.92,97088.92,great_city,True,False,0.8968,1
15,3550,38.45,2355.85,80.4897,coastal,True,True,358.2,0.8684,33600.0,63184.65,96784.65,great_city,True,False,0.8938,1
16,4092,2414.6,2580.24,77.3902,coastal,True,False,284.55,0.83042,33600.0,59424.74,93024.74,great_city,True,False,0.8593,1
17,1246,2464.21,621.72,77.1951,coastal,True,True,319.77,0.82613,33600.0,59209.99,92809.99,great_city,True,False,0.8572,1
18,3071,345.9,2113.84,74.5515,coastal,True,True,293.5,0.79627,33600.0,56023.22,89623.22,great_city,True,False,0.8278,1
19,3375,526.1,2268.34,74.3656,coastal,True,True,310.55,0.78367,33600.0,55809.52,89409.52,great_city,True,False,0.8258,1
20,639,459.73,353.36,74.0177,coastal,True,True,303.34,0.78412,33600.0,55388.07,88988.07,great_city,True,False,0.8219,1
21,2782,2213.48,1898.06,71.9799,coastal,True,False,271.77,0.76634,33600.0,52925.36,86525.36,great_city,True,False,0.7993,1
22,826,2229.77,423.49,70.7444,coastal,True,False,263.32,0.74928,33600.0,51438.1,85038.1,great_city,True,False,0.7855,1
23,2892,96.22,2015.56,70.0058,coastal,True,True,293.94,0.73959,33600.0,50568.63,84168.63,great_city,True,False,0.7773,1
