cell_id,seed_x,seed_y,centroid_x,centroid_y,centroid_lat,centroid_lon,area_px,mean_elevation_m,min_elevation_m,max_elevation_m,mean_slope_deg,ruggedness_m,coast_distance_px,coast_distance_km,traversal_score,traversal_profile
0,19,18,16.81,18.39,24.393777,45.100419,1017,-5.44,-61.87,86.44,25.86,65.4,9.9,17.32,60.76,moderate
1,55,9,53.26,13.15,24.476771,45.677402,939,89.48,-61.24,223.22,34.21,93.97,18.19,31.84,58.21,moderate
2,84,16,84.69,16.37,24.425748,46.174972,1060,213.59,-12.88,339.57,39.27,128.32,18.84,32.98,56.09,rough
3,118,16,115.46,16.28,24.427127,46.66219,866,342.27,249.01,431.83,29.18,82.6,29.87,52.28,55.96,rough
4,138,12,143.46,15.22,24.443975,47.105387,979,293.6,221.79,401.45,30.91,77.53,53.88,94.3,54.61,rough
5,179,12,176.75,15.2,24.444292,47.632363,1139,279.69,213.87,348.8,29.02,67.63,84.76,148.33,52.65,rough
6,210,15,209.11,16.15,24.429172,48.144744,1009,274.41,194.18,337.91,24.98,59.81,115.45,202.03,54.24,rough
7,235,23,235.74,21.2,24.349292,48.566261,1134,246.05,183.33,326.27,26.28,61.04,140.39,245.68,52.71,rough
8,267,23,268.9,19.49,24.376322,49.091253,1446,220.43,154.53,328.51,22.44,57.88,167.48,293.09,58.88,moderate
9,309,9,303.25,13.1,24.477513,49.635114,919,152.54,122.5,191.02,19.6,44.74,179.15,313.51,64.52,moderate
10,330,8,333.73,11.76,24.498725,50.117568,685,157.34,121.71,188.59,21.48,46.94,183.73,321.53,61.29,moderate
11,365,7,364.42,11.71,24.499494,50.603459,850,169.0,135.83,214.21,18.77,40.16,179.8,314.65,65.94,moderate
12,397,17,395.28,16.51,24.42356,51.092035,988,181.16,139.22,206.78,12.72,28.55,165.13,288.98,76.27,easy
13,427,7,426.96,10.59,24.517303,51.593543,736,189.38,165.34,226.81,15.53,34.08,165.96,290.44,71.37,moderate
14,460,6,462.78,12.9,24.480665,52.160519,1039,204.05,175.06,229.4,13.38,28.88,164.09,287.17,75.01,easy
15,500,24,497.86,18.36,24.39418,52.715848,967,217.97,177.48,243.8,15.99,34.85,164.56,287.98,70.39,moderate
16,524,11,525.51,12.47,24.487409,53.153607,901,232.36,192.33,288.99,20.34,44.33,160.33,280.58,62.75,moderate
17,560,6,557.69,10.24,24.522822,53.663109,692,279.29,244.48,310.11,18.68,40.75,145.54,254.69,65.3,moderate
18,584,17,586.99,17.7,24.404678,54.126979,1096,302.88,261.89,333.91,18.02,40.49,128.28,224.49,66.23,moderate
19,622,10,622.7,15.37,24.441551,54.692322,1233,335.58,271.69,396.86,23.05,53.32,126.13,220.73,57.23,rough
20,660,6,659.32,12.9,24.480675,55.272014,1033,405.62,328.88,458.17,21.56,49.03,134.07,234.63,59.37,moderate
21,693,24,692.75,20.21,24.36489,55.801193,901,459.41,432.59,492.2,12.76,28.35,140.87,246.52,74.29,easy
22,716,9,716.45,12.38,24.488912,56.176379,818,470.27,450.08,492.9,12.9,28.91,160.48,280.83,73.96,easy
23,746,7,748.85,12.46,24.487647,56.689317,924,439.56,398.6,481.43,18.07,40.26,178.58,312.51,65.22,moderate
24,787,12,782.49,16.77,24.419375,57.221833,1129,430.91,379.06,468.81,18.15,40.65,182.75,319.82,65.14,moderate
25,811,13,812.17,15.5,24.439458,57.691674,881,433.06,401.38,460.98,10.46,23.09,193.62,338.84,78.46,easy
26,842,15,843.2,15.56,24.438622,58.183046,1096,409.04,290.48,459.05,16.69,40.69,205.37,359.39,67.7,moderate
27,876,23,875.61,20.05,24.367473,58.696006,1261,345.51,290.52,409.83,24.1,58.09,216.22,378.39,55.26,rough
28,908,21,907.87,17.41,24.409208,59.206737,1153,275.69,222.3,327.11,18.2,41.69,236.6,414.06,66.09,moderate
29,938,21,941.68,18.05,24.399155,59.742076,1355,285.16,201.77,412.12,29.7,83.56,256.88,449.53,51.64,rough
30,984,16,979.5,15.27,24.443217,60.340793,1168,380.97,314.07,643.84,29.18,108.8,283.41,495.97,50.09,rough
31,1009,19,1012.55,19.22,24.380561,60.863981,1196,366.3,297.84,566.84,26.34,76.11,304.07,532.12,51.34,rough
32,1047,6,1043.22,11.04,24.510106,61.34955,795,316.71,282.44,368.26,13.93,37.04,332.5,581.87,73.03,easy
33,1069,19,1072.34,18.87,24.386153,61.81055,1154,353.59,276.8,511.14,37.44,120.14,350.73,613.77,49.87,rough
34,1110,12,1107.64,13.34,24.473763,62.369382,1039,417.24,315.2,774.11,48.02,174.51,382.94,670.14,47.51,rough
35,1140,18,1139.58,18.37,24.394079,62.874917,1010,342.58,150.44,634.91,64.5,301.46,407.09,712.4,43.54,rough
36,1166,16,1166.94,17.39,24.40962,63.308055,1006,558.52,287.23,890.86,64.7,316.26,427.21,747.62,41.52,severe
37,1196,9,1197.72,13.73,24.467585,63.795441,1008,1141.73,645.82,1659.25,67.69,392.83,419.31,733.78,34.77,severe
38,1233,19,1232.68,17.53,24.407368,64.348877,1304,1624.57,1122.5,2009.13,68.47,428.08,384.51,672.9,30.18,severe
39,1272,14,1269.86,15.01,24.447296,64.93749,1032,1369.5,772.19,2091.67,77.12,753.82,347.29,607.75,20.43,extreme
40,1299,10,1301.48,14.24,24.459452,65.437942,938,1590.35,1064.94,2143.26,76.8,614.86,315.66,552.41,23.82,extreme
41,1335,9,1330.93,14.39,24.45708,65.904233,839,1351.01,994.32,1713.64,71.83,484.31,286.24,500.92,30.09,severe
42,1355,13,1358.46,17.61,24.406026,66.340099,1064,1098.98,772.65,1549.77,69.24,476.59,258.83,452.96,32.11,severe
43,1394,9,1393.91,11.3,24.506015,66.901262,961,1292.34,1023.07,1725.69,68.77,360.87,223.2,390.6,34.86,severe
44,1429,23,1430.15,17.05,24.414958,67.474976,1030,1205.66,963.7,1540.57,61.94,283.32,187.24,327.67,38.2,severe
45,1461,20,1460.62,17.24,24.411891,67.957336,1126,1197.26,945.71,1580.14,67.47,366.79,156.86,274.51,35.31,severe
46,1493,13,1491.96,15.74,24.435721,68.453553,1015,990.79,705.24,1448.4,68.14,380.09,125.57,219.74,36.27,severe
47,1520,17,1521.18,17.02,24.415519,68.916131,1063,1044.52,756.5,1713.48,64.1,338.11,96.57,169.0,37.38,severe
48,1553,21,1553.43,17.45,24.408641,69.426662,1168,1038.11,691.37,1699.35,73.13,587.56,64.7,113.23,30.57,severe
49,1590,7,1584.8,11.27,24.506521,69.923272,735,1307.47,817.21,1853.47,73.92,606.27,33.08,57.9,30.5,severe
50,1608,15,1612.27,18.26,24.395857,70.358034,1066,783.9,-27.94,1669.16,81.9,1078.15,13.75,24.06,28.07,severe
51,1651,8,1646.56,10.8,24.513913,70.90092,774,380.47,-57.85,1293.31,76.63,660.95,9.48,16.59,36.82,severe
52,1676,22,1675.16,21.75,24.340536,71.353717,837,625.43,-53.32,1964.83,76.96,798.67,9.96,17.43,30.22,severe
53,1696,18,1693.07,17.99,24.400015,71.637322,536,518.95,-58.52,1954.29,77.31,1019.38,7.63,13.35,30.38,severe
54,17,47,14.08,50.32,23.888261,45.05726,1036,17.82,-61.85,97.48,24.77,63.2,12.74,22.29,62.26,moderate
55,53,49,53.92,45.72,23.961098,45.687899,1084,59.53,-60.38,211.65,37.77,106.58,15.3,26.78,58.2,moderate
56,88,48,85.12,50.87,23.879533,46.181909,952,127.67,-61.09,337.44,44.66,150.84,12.48,21.85,56.38,rough
