cell_id,x,y,lat,lon,area_px,elevation_m,slope_deg,ruggedness_m,coast_distance_km,traversal_cost,settlement_desirability,population_weight,population_estimate
0,16.81,18.39,24.393777,45.100419,1017,-5.44,25.86,65.4,17.32,39.24,0.51926,0.00037,155.4
1,53.26,13.15,24.476771,45.677402,939,89.48,34.21,93.97,31.84,41.79,0.44405,0.000263,110.43
2,84.69,16.37,24.425748,46.174972,1060,213.59,39.27,128.32,32.98,43.91,0.42084,0.000246,103.4
3,115.46,16.28,24.427127,46.66219,866,342.27,29.18,82.6,52.28,44.04,0.36309,0.000169,70.85
4,143.46,15.22,24.443975,47.105387,979,293.6,30.91,77.53,94.3,45.39,0.32597,0.000126,52.74
5,176.75,15.2,24.444292,47.632363,1139,279.69,29.02,67.63,148.33,47.35,0.32488,0.000125,52.56
6,209.11,16.15,24.429172,48.144744,1009,274.41,24.98,59.81,202.03,45.76,0.32999,0.000127,53.39
7,235.74,21.2,24.349292,48.566261,1134,246.05,26.28,61.04,245.68,47.29,0.32828,0.000126,53.11
8,268.9,19.49,24.376322,49.091253,1446,220.43,22.44,57.88,293.09,41.12,0.34285,0.000132,55.47
9,303.25,13.1,24.477513,49.635114,919,152.54,19.6,44.74,313.51,35.48,0.38434,0.000148,62.19
10,333.73,11.76,24.498725,50.117568,685,157.34,21.48,46.94,321.53,38.71,0.35869,0.000138,58.03
11,364.42,11.71,24.499494,50.603459,850,169.0,18.77,40.16,314.65,34.06,0.39545,0.000152,63.98
12,395.28,16.51,24.42356,51.092035,988,181.16,12.72,28.55,288.98,23.73,0.48018,0.000185,77.69
13,426.96,10.59,24.517303,51.593543,736,189.38,15.53,34.08,290.44,28.63,0.43929,0.000169,71.08
14,462.78,12.9,24.480665,52.160519,1039,204.05,13.38,28.88,287.17,24.99,0.46919,0.000181,75.91
15,497.86,18.36,24.39418,52.715848,967,217.97,15.99,34.85,287.98,29.61,0.43067,0.000166,69.68
16,525.51,12.47,24.487409,53.153607,901,232.36,20.34,44.33,280.58,37.25,0.36888,0.000142,59.68
17,557.69,10.24,24.522822,53.663109,692,279.29,18.68,40.75,254.69,34.7,0.38834,0.00015,62.83
18,586.99,17.7,24.404678,54.126979,1096,302.88,18.02,40.49,224.49,33.77,0.39542,0.000152,63.98
19,622.7,15.37,24.441551,54.692322,1233,335.58,23.05,53.32,220.73,42.77,0.33386,0.000129,54.02
20,659.32,12.9,24.480675,55.272014,1033,405.62,21.56,49.03,234.63,40.63,0.33923,0.000131,54.89
21,692.75,20.21,24.36489,55.801193,901,459.41,12.76,28.35,246.52,25.71,0.45837,0.000177,74.16
22,716.45,12.38,24.488912,56.176379,818,470.27,12.9,28.91,280.83,26.04,0.45544,0.000175,73.69
23,748.85,12.46,24.487647,56.689317,924,439.56,18.07,40.26,312.51,34.78,0.38478,0.000148,62.26
24,782.49,16.77,24.419375,57.221833,1129,430.91,18.15,40.65,319.82,34.86,0.38426,0.000148,62.17
25,812.17,15.5,24.439458,57.691674,881,433.06,10.46,23.09,338.84,21.54,0.49382,0.00019,79.9
26,843.2,15.56,24.438622,58.183046,1096,409.04,16.69,40.69,359.39,32.3,0.40525,0.000156,65.57
27,875.61,20.05,24.367473,58.696006,1261,345.51,24.1,58.09,378.39,44.74,0.32834,0.000126,53.12
28,907.87,17.41,24.409208,59.206737,1153,275.69,18.2,41.69,414.06,33.91,0.39471,0.000152,63.86
29,941.68,18.05,24.399155,59.742076,1355,285.16,29.7,83.56,449.53,48.36,0.31926,0.000123,51.66
30,979.5,15.27,24.443217,60.340793,1168,380.97,29.18,108.8,495.97,49.91,0.3056,0.000118,49.45
31,1012.55,19.22,24.380561,60.863981,1196,366.3,26.34,76.11,532.12,48.66,0.31561,0.000122,51.06
32,1043.22,11.04,24.510106,61.34955,795,316.71,13.93,37.04,581.87,26.97,0.45059,0.000174,72.9
33,1072.34,18.87,24.386153,61.81055,1154,353.59,37.44,120.14,613.77,50.13,0.30439,0.000117,49.25
34,1107.64,13.34,24.473763,62.369382,1039,417.24,48.02,174.51,670.14,52.49,0.28521,0.00011,46.15
35,1139.58,18.37,24.394079,62.874917,1010,342.58,64.5,301.46,712.4,56.46,0.25641,9.9e-05,41.49
36,1166.94,17.39,24.40962,63.308055,1006,558.52,64.7,316.26,747.62,58.48,0.23814,9.2e-05,38.53
37,1197.72,13.73,24.467585,63.795441,1008,1141.73,67.69,392.83,733.78,65.23,0.18136,7e-05,29.34
38,1232.68,17.53,24.407368,64.348877,1304,1624.57,68.47,428.08,672.9,69.82,0.14361,5.5e-05,23.23
39,1269.86,15.01,24.447296,64.93749,1032,1369.5,77.12,753.82,607.75,79.57,0.08608,3.3e-05,13.93
40,1301.48,14.24,24.459452,65.437942,938,1590.35,76.8,614.86,552.41,76.18,0.10363,4e-05,16.77
41,1330.93,14.39,24.45708,65.904233,839,1351.01,71.83,484.31,500.92,69.91,0.14675,5.7e-05,23.74
42,1358.46,17.61,24.406026,66.340099,1064,1098.98,69.24,476.59,452.96,67.89,0.16374,6.3e-05,26.49
43,1393.91,11.3,24.506015,66.901262,961,1292.34,68.77,360.87,390.6,65.14,0.1798,6.9e-05,29.09
44,1430.15,17.05,24.414958,67.474976,1030,1205.66,61.94,283.32,327.67,61.8,0.20445,7.9e-05,33.08
45,1460.62,17.24,24.411891,67.957336,1126,1197.26,67.47,366.79,274.51,64.69,0.18428,7.1e-05,29.81
46,1491.96,15.74,24.435721,68.453553,1015,990.79,68.14,380.09,219.74,63.73,0.19397,7.5e-05,31.38
47,1521.18,17.02,24.415519,68.916131,1063,1044.52,64.1,338.11,169.0,62.62,0.20102,7.7e-05,32.52
48,1553.43,17.45,24.408641,69.426662,1168,1038.11,73.13,587.56,113.23,69.43,0.14456,5.6e-05,23.39
49,1584.8,11.27,24.506521,69.923272,735,1307.47,73.92,606.27,57.9,69.5,0.14603,6.3e-05,26.34
50,1612.27,18.26,24.395857,70.358034,1066,783.9,81.9,1078.15,24.06,71.93,0.22884,0.000147,61.57
51,1646.56,10.8,24.513913,70.90092,774,380.47,76.63,660.95,16.59,63.18,0.32051,0.000232,97.63
52,1675.16,21.75,24.340536,71.353717,837,625.43,76.96,798.67,17.43,69.78,0.26854,0.000191,80.15
53,1693.07,17.99,24.400015,71.637322,536,518.95,77.31,1019.38,13.35,69.62,0.30053,0.000235,98.66
54,14.08,50.32,23.888261,45.05726,1036,17.82,24.77,63.2,22.29,37.74,0.49489,0.000323,135.45
55,53.92,45.72,23.961098,45.687899,1084,59.53,37.77,106.58,26.78,41.8,0.4592,0.000286,120.28
56,85.12,50.87,23.879533,46.181909,952,127.67,44.66,150.84,21.85,43.62,0.457,0.000299,125.61
57,109.39,46.76,23.944601,46.566025,772,124.34,53.0,253.78,25.39,47.39,0.41523,0.000263,110.28
58,137.81,48.91,23.910519,47.015935,1053,245.01,49.82,190.16,71.63,48.03,0.30034,0.000116,48.59
59,170.97,46.85,23.943154,47.540908,1075,287.43,46.62,163.93,128.65,49.93,0.29957,0.000115,48.47
60,204.54,50.53,23.885007,48.072309,1055,335.08,31.99,78.89,187.18,48.54,0.31704,0.000122,51.3
61,242.17,54.11,23.82819,48.668131,1087,307.57,23.98,55.96,241.94,44.2,0.33203,0.000128,53.72
62,275.87,50.29,23.888712,49.201626,815,243.62,30.44,78.17,250.13,47.88,0.32369,0.000125,52.37
63,307.02,47.39,23.934584,49.694644,999,161.06,24.22,57.31,253.92,43.62,0.34132,0.000131,55.22
64,332.57,42.14,24.017776,50.099185,1069,134.1,22.15,52.12,269.19,39.83,0.35166,0.000135,56.9
65,364.66,45.23,23.968812,50.607262,1485,135.14,13.59,29.88,260.49,24.89,0.47129,0.000182,76.25
66,405.22,46.47,23.949209,51.24936,1224,168.33,14.24,30.12,234.04,26.2,0.45973,0.000177,74.38
67,437.63,38.41,24.076855,51.762481,1114,177.1,14.49,30.75,241.07,26.7,0.45543,0.000175,73.69
68,467.59,50.43,23.886589,52.236704,866,195.74,13.57,29.16,222.93,25.26,0.46712,0.00018,75.58
69,490.79,41.9,24.021612,52.603942,894,210.28,15.59,32.79,245.92,28.83,0.43727,0.000168,70.75
70,525.61,45.67,23.961925,53.155149,974,249.92,14.9,31.77,235.7,27.92,0.44399,0.000171,71.84
71,554.06,40.53,24.043203,53.605547,1069,282.88,17.11,40.53,211.85,32.13,0.40903,0.000158,66.18
72,584.13,48.57,23.916009,54.081632,960,277.79,18.84,43.95,175.05,35.07,0.3854,0.000148,62.36
73,617.0,47.55,23.932097,54.60201,1039,330.58,26.85,67.72,164.51,48.11,0.32045,0.000123,51.85
74,649.79,53.49,23.838046,55.121138,1389,420.64,28.01,65.06,162.2,48.64,0.31485,0.000121,50.94
75,679.73,43.85,23.990736,55.595055,1114,470.38,18.87,42.38,199.63,36.39,0.37139,0.000143,60.09
76,716.81,46.52,23.948501,56.182054,980,474.62,17.24,36.68,235.75,33.53,0.39421,0.000152,63.78
77,749.69,43.95,23.989046,56.702573,1332,470.39,22.19,54.07,262.17,42.29,0.32697,0.000126,52.9
78,787.38,49.4,23.902821,57.2993,1038,419.71,20.32,45.68,268.13,38.55,0.35521,0.000137,57.47
