cell_id,seed_x,seed_y,centroid_x,centroid_y,centroid_lat,centroid_lon,area_px,mean_elevation_m,min_elevation_m,max_elevation_m,mean_slope_deg,ruggedness_m,coast_distance_px,coast_distance_km,traversal_score,traversal_profile,crop_x,crop_y
5561,2253,652,2254.29,653.33,24.666667,45.428889,45,13.82,-59.5,128.39,69.68,251.4,1.86,20.74,57.98,rough,37.56,1.15
5562,2261,655,2261.71,654.75,24.524706,46.170588,85,202.92,6.1,366.93,69.49,317.17,3.96,44.03,54.73,rough,84.41,10.12
5564,2287,657,2284.74,655.19,24.480952,48.47381,84,243.23,148.87,319.63,56.6,164.84,13.81,153.56,58.58,moderate,229.9,12.88
5565,2292,656,2293.71,654.65,24.534615,49.370513,78,168.36,140.24,265.69,40.14,118.64,14.09,156.72,60.42,moderate,286.54,9.49
5566,2305,655,2303.88,654.52,24.547959,50.387755,98,156.82,123.35,187.4,36.13,67.36,20.45,227.36,61.66,moderate,350.8,8.65
5567,2312,657,2312.51,655.95,24.404819,51.250602,83,180.42,141.64,225.59,31.37,71.38,24.8,275.81,61.11,moderate,405.3,17.69
5568,2322,656,2322.57,654.17,24.58254,52.257143,126,212.66,175.57,250.16,35.55,73.84,27.03,300.56,60.7,moderate,468.88,6.46
5569,2337,654,2335.44,654.85,24.515044,53.544248,113,269.38,213.54,308.31,41.4,86.02,22.92,254.83,60.28,moderate,550.18,10.73
5571,2351,656,2351.59,655.65,24.434513,55.159292,113,404.3,308.59,490.26,47.0,124.2,20.39,226.78,58.5,moderate,652.2,15.82
5572,2364,655,2364.09,655.86,24.4136,56.4088,125,455.7,408.93,497.28,35.43,68.88,26.15,290.78,59.55,moderate,731.13,17.14
5574,2383,656,2383.78,656.27,24.373333,58.377778,90,381.62,309.52,448.14,51.87,130.6,32.42,360.48,57.63,rough,855.51,19.68
5577,2415,655,2415.77,655.35,24.465385,61.576923,104,328.7,256.94,411.79,57.52,176.73,54.69,608.11,55.01,rough,1057.59,13.87
5578,2426,652,2425.79,654.16,24.584158,62.579208,101,381.02,221.62,557.93,73.64,318.55,63.6,707.25,49.71,rough,1120.9,6.36
5579,2436,656,2435.4,655.61,24.43871,63.539785,93,859.79,433.09,1406.39,82.36,912.25,65.52,728.61,28.8,severe,1181.58,15.55
5580,2445,654,2444.96,653.34,24.665591,64.495699,93,1406.04,944.05,1823.03,82.55,780.44,57.23,636.42,30.0,severe,1241.96,1.22
5581,2453,654,2453.58,653.65,24.635165,65.358242,91,1456.41,1019.81,1744.01,78.84,588.54,48.63,540.78,36.26,severe,1296.44,3.14
5582,2463,655,2463.68,654.05,24.595283,66.367925,106,1202.4,896.23,1529.06,79.17,569.88,38.53,428.47,38.94,severe,1360.22,5.66
5583,2476,657,2475.59,656.26,24.373571,67.558571,140,1233.65,959.53,1440.61,76.84,480.8,26.69,296.77,42.32,rough,1435.43,19.66
5584,2486,656,2485.99,655.82,24.417857,68.599107,112,1051.33,883.33,1327.83,75.86,460.6,16.34,181.73,44.67,rough,1501.16,16.87
5585,2497,654,2496.84,653.77,24.622581,69.683871,93,1142.09,877.78,1587.24,82.03,728.41,6.51,72.44,36.48,severe,1569.68,3.94
5602,2257,663,2256.33,663.2,23.68,45.633,100,110.05,-46.78,284.89,70.77,297.21,3.33,37.0,55.91,rough,50.45,63.48
5603,2267,664,2266.82,663.42,23.6575,46.6825,80,268.68,34.72,433.29,71.7,331.23,5.87,65.24,53.79,rough,116.75,64.9
5604,2274,664,2274.48,662.88,23.712195,47.447561,82,305.33,167.68,436.44,66.13,248.39,12.21,135.82,55.74,rough,165.07,61.44
5605,2284,664,2283.57,664.9,23.510476,48.357143,105,328.18,247.23,381.87,52.59,166.58,18.19,202.31,57.76,rough,222.53,74.18
5606,2291,661,2292.75,663.27,23.672527,49.274725,91,200.69,79.78,325.32,60.01,212.43,18.57,206.5,57.02,rough,280.49,63.95
5607,2305,664,2303.82,665.09,23.490984,50.381967,122,124.32,70.76,164.29,36.4,90.13,18.69,207.86,61.25,moderate,350.43,75.42
5608,2314,664,2314.43,665.12,23.4875,51.442708,96,163.88,106.23,200.51,36.05,79.34,16.31,181.37,61.52,moderate,417.44,75.64
5609,2325,663,2324.65,662.91,23.709091,52.464935,77,201.87,162.97,242.95,32.87,79.06,18.8,209.04,61.15,moderate,482.01,61.64
5610,2331,665,2332.41,665.48,23.452212,53.240708,113,229.54,152.53,292.54,45.33,113.8,16.31,181.39,60.08,moderate,531.01,77.86
5611,2345,664,2343.81,663.01,23.698947,54.381053,95,306.84,178.41,442.5,55.27,215.25,12.56,139.72,56.74,rough,603.04,62.28
5612,2353,666,2354.09,665.76,23.423529,55.408824,102,441.8,351.67,514.14,55.1,213.89,12.54,139.4,56.02,rough,667.96,79.68
5613,2365,667,2365.01,665.52,23.447727,56.501136,88,496.07,437.44,543.65,48.5,108.61,18.19,202.22,58.62,moderate,736.96,78.15
5614,2375,664,2374.32,662.99,23.701031,57.431959,97,434.24,407.33,503.57,41.1,78.56,22.74,252.84,59.6,moderate,795.76,62.15
5615,2382,667,2383.61,667.47,23.252679,58.360714,112,406.63,275.86,472.07,49.41,144.32,23.0,255.77,57.69,rough,854.43,90.47
5616,2394,662,2394.16,662.43,23.757143,59.415646,147,271.49,198.22,407.55,60.67,197.26,33.8,375.9,56.08,rough,921.06,58.6
5617,2406,661,2405.16,661.56,23.844444,60.515873,126,373.65,261.26,493.08,63.3,243.96,42.54,473.05,53.47,rough,990.56,53.09
5618,2415,667,2414.33,665.75,23.425373,61.432836,67,252.64,193.98,373.02,60.4,209.66,47.85,532.08,54.87,rough,1048.48,79.56
5619,2421,667,2422.08,666.09,23.390598,62.207692,117,374.12,205.72,628.99,73.89,395.55,53.27,592.33,48.04,rough,1097.43,81.76
5620,2434,665,2432.93,665.11,23.488793,63.293103,116,664.55,235.57,1286.39,80.65,771.78,59.82,665.14,34.26,severe,1165.99,75.55
5621,2443,662,2443.86,663.11,23.689,64.386,100,1537.35,1076.09,1835.21,81.6,682.26,58.52,650.76,32.23,severe,1235.03,62.91
5622,2455,664,2454.44,663.7,23.629897,65.44433,97,1422.51,1180.8,1625.61,75.52,484.57,48.09,534.81,39.72,severe,1301.88,66.64
5623,2465,662,2465.08,661.97,23.802667,66.508,75,1176.8,994.2,1469.05,74.64,488.76,37.32,415.0,41.69,severe,1369.07,55.73
5624,2471,667,2471.63,665.82,23.417647,67.163235,68,1175.79,926.83,1527.03,76.97,522.32,31.68,352.28,41.02,severe,1410.46,80.05
5625,2485,667,2484.55,667.02,23.297674,68.455039,129,1156.66,850.93,1519.46,80.02,594.06,20.37,226.48,39.65,severe,1492.06,87.63
5626,2496,663,2495.89,664.13,23.586885,69.589344,122,1210.38,888.64,1528.53,79.73,596.89,9.92,110.3,39.96,severe,1563.71,69.36
5627,2506,665,2505.12,665.4,23.460215,70.511828,93,1175.12,787.78,1486.39,80.99,668.57,8.44,93.82,38.03,severe,1621.98,77.36
5628,2511,661,2512.52,661.11,23.889,71.252,100,902.04,-17.31,1582.02,86.11,1479.56,3.22,35.79,32.71,severe,1668.73,50.27
5629,2955,661,2955.0,661.0,23.9,115.5,1,-1608.75,-1608.75,-1608.75,86.35,2620.36,1.0,11.12,37.93,severe,4463.76,49.58
5642,2256,675,2255.5,675.67,22.433019,45.55,106,121.68,-29.35,262.68,73.47,334.94,3.88,43.15,54.64,rough,45.21,142.24
5643,2263,671,2263.64,671.82,22.818085,46.36383,94,293.92,110.95,407.17,63.12,297.17,6.76,75.21,54.65,rough,96.62,117.92
5644,2275,672,2274.1,673.09,22.691429,47.409524,105,349.63,229.88,437.12,62.45,202.55,12.61,140.24,56.89,rough,162.67,125.92
5645,2282,676,2282.95,675.83,22.417273,48.294545,110,238.84,121.7,317.72,62.17,221.84,11.31,125.77,57.0,rough,218.57,143.24
5646,2295,676,2293.13,675.25,22.475,49.313333,120,68.14,-25.05,263.3,59.51,236.8,8.19,91.07,57.7,rough,282.93,139.59
5647,2301,676,2301.5,674.97,22.503191,50.15,94,33.33,4.6,83.46,40.77,91.58,10.27,114.23,62.28,moderate,335.78,137.81
5648,2314,677,2313.11,675.24,22.476471,51.310588,85,37.67,-37.42,104.31,52.83,129.0,6.85,76.19,61.32,moderate,409.09,139.5
5649,2322,672,2322.97,672.02,22.797938,52.296907,97,108.11,26.26,169.86,55.78,150.82,10.01,111.36,60.03,moderate,471.39,119.19
5650,2337,677,2336.58,675.78,22.422449,53.658163,98,139.95,60.59,235.52,57.52,179.18,8.36,92.97,59.08,moderate,557.38,142.91
5651,2344,671,2343.82,671.53,22.847312,54.38172,93,158.35,-2.72,326.01,67.09,312.63,5.12,56.92,55.04,rough,603.08,116.07
5652,2355,676,2354.07,675.35,22.464634,55.407317,82,301.46,16.7,462.42,69.68,377.37,5.96,66.32,52.17,rough,667.87,140.25
5653,2363,672,2362.79,672.47,22.75303,56.278788,66,474.47,408.91,532.25,55.15,165.21,11.13,123.71,57.45,rough,722.92,122.03
5654,2373,673,2373.02,673.13,22.687209,57.302326,86,458.0,401.07,512.54,52.01,118.33,12.78,142.17,58.89,moderate,787.57,126.19
5655,2382,677,2382.65,677.25,22.275455,58.264545,110,396.14,207.39,530.13,64.24,257.79,15.25,169.58,54.74,rough,848.35,152.2
5656,2397,675,2396.02,673.88,22.61194,59.602239,134,199.1,156.1,308.43,52.72,200.64,28.04,311.84,56.77,rough,932.85,130.94
5657,2406,676,2405.75,676.25,22.375281,60.575281,89,229.44,156.17,454.61,63.08,247.02,35.47,394.45,54.66,rough,994.32,145.89
5658,2411,672,2411.38,672.27,22.77284,61.138272,81,220.18,157.77,415.3,63.55,232.74,41.84,465.32,54.73,rough,1029.88,120.78
5659,2426,676,2425.55,675.34,22.466265,62.555422,83,226.81,115.47,400.65,72.53,385.15,47.3,525.92,49.59,rough,1119.4,140.14
5660,2433,676,2433.66,676.32,22.367816,63.365517,87,716.89,180.49,1327.8,83.61,1078.73,50.67,563.42,30.59,severe,1170.57,146.36
